Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team,nba_player_id,nba_id
2004,1,21,Pavel Podkolzin,C,7-5,260.0,19.0,OpenJobMetis Varese (Italy),1985 DOB  *,UTA to  DAL,2,UTA,,2750.0
2003,1,19,Sasha Pavlovic,GF,6-7,235.0,19.0,Buducnost Voli Podgorica (Montenegro),1983 DOB  *,,10,UTA,,2562.0
2003,2,47,Mo Williams,G,6-1,198.0,20.0,Alabama,So  *,,14,UTA,,2590.0
2002,1,19,Ryan Humphrey,F,6-8,235.0,22.0,Notre Dame,Sr,UTA to  ORL,3,UTA,,2415.0
2002,2,46,Jamal Sampson,FC,6-11,235.0,19.0,California,Fr  *,UTA to  ORL ORL  to MIL,5,UTA,,2441.0
2001,1,24,Raul Lopez,PG,6-0,175.0,21.0,Real Madrid (Spain),1980 DOB  *,,3,UTA,,2221.0
2001,2,52,Jarron Collins,C,6-11,248.0,22.0,Stanford,Sr,,10,UTA,,2260.0
2000,1,23,DeShawn Stevenson,SG,6-5,218.0,19.0,Washington Union High School (California),1981 DOB  *,,13,UTA,,2052.0
2000,2,50,Kaniel Dickens,F,6-8,215.0,21.0,Idaho,Jr  *,,5,UTA,,2079.0
1999,1,19,Quincy Lewis,SF,6-7,215.0,22.0,Minnesota,Sr,,4,UTA,,1900.0
1999,1,24,Andrei Kirilenko,PF,6-9,235.0,18.0,CSKA Moscow (Russia),1981 DOB  *,,13,UTA,,1905.0
1999,1,28,Scott Padgett,F,6-9,240.0,23.0,Kentucky,Sr,,8,UTA,,1909.0
1999,2,58,Eddie Lucas,G,6-6,200.0,23.0,Virginia Tech,Sr,,1,UTA,,
1998,1,29,Nazr Mohammed,C,6-10,250.0,20.0,Kentucky,Jr  *,UTA to  PHI,18,UTA,,1737.0
1998,2,57,Torraye Braggs,F,6-8,245.0,22.0,Xavier,Sr,,5,UTA,,1765.0
1997,1,27,Jacque Vaughn,G,6-1,190.0,22.0,Kansas,Sr,,12,UTA,,1521.0
1997,2,56,Nate Erdmann,F,6-5,195.0,23.0,Oklahoma,Sr,,1,UTA,,
1996,1,25,Martin Muursepp,F-C,6-10,235.0,21.0,Tallinna Ulikool Kalev (Estonia),1974 DOB,UTA to  MIA,3,UTA,,982.0
